DATASET_COLORSTRIP
SEPARATOR SPACE
DATASET_LABEL N_type
COLOR #E78AC3
COLOR_BRANCHES 0
DATA
NC_026433.1|H1N1|USA|Homo_sapiens|2009-04-09 #8DD3C7 N1
NC_026425.1|H7N9|China|Homo_sapiens|2013-03-05 #FFFFB3 N9
MH169357.1|H7N7|South_Korea|Anatidae|2016-11-23 #BEBADA N7
MG770144.1|H1N1|South_Korea|Aves|2016-11-07 #8DD3C7 N1
MG770152.1|H1N1|South_Korea|Aves|2016-11-07 #8DD3C7 N1
MG770160.1|H1N1|South_Korea|Aves|2016-11-07 #8DD3C7 N1
MG770176.1|H1N1|South_Korea|Aves|2016-11-07 #8DD3C7 N1
MF673163.1|H3N2|China|Homo_sapiens|2017-08-07 #FB8072 N2
MG386182.1|H3N3|South_Korea|Aves|2016-11-03 #80B1D3 N3
KX703019.1|H11N9|South_Korea|Anatidae|2016-01-21 #FFFFB3 N9
MF973225.1|H5N8|Zimbabwe|Gallus_gallus|2017-05-25 #FDB462 N8
KJ907495.1|H3N1|China|Sibirionetta_formosa|2012-05-15 #8DD3C7 N1
KJ907503.1|H3N2|China|Sibirionetta_formosa|2013-11-01 #FB8072 N2
KJ907511.1|H3N2|China|Sibirionetta_formosa|2013-11-01 #FB8072 N2
KJ907519.1|H3N3|China|Numenius_arquata|2013-04-01 #80B1D3 N3
KJ907527.1|H3N6|China|Numenius_arquata|2013-04-01 #B3DE69 N6
KJ907535.1|H3N6|China|Numenius_arquata|2013-04-01 #B3DE69 N6
KJ907543.1|H3N8|China|Sibirionetta_formosa|2013-11-01 #FDB462 N8
KJ907551.1|H3N8|China|Sibirionetta_formosa|2012-05-01 #FDB462 N8
KJ907559.1|H4N6|China|Anatidae|2011-12-01 #B3DE69 N6
KJ907567.1|H4N6|China|Anatidae|2011-12-01 #B3DE69 N6
KJ907575.1|H4N8|China|Anser_anser|2013-09-01 #FDB462 N8
KJ907583.1|H4N8|China|Anser_anser|2013-09-01 #FDB462 N8
KJ907591.1|H4N8|China|Anser_anser|2013-09-01 #FDB462 N8
KJ907607.1|H5N1|China|Gallus_gallus|2013-04-01 #8DD3C7 N1
KJ907615.1|H5N1|China|Gallus_gallus|2013-05-01 #8DD3C7 N1
KJ907623.1|H5N1|China|Parus_major|2013-10-01 #8DD3C7 N1
KJ907631.1|H5N1|China|Anatidae|2013-04-01 #8DD3C7 N1
KJ907639.1|H5N1|China|Anas_platyrhynchos|2013-08-01 #8DD3C7 N1
KJ907655.1|H6N1|China|Anas_crecca|2013-12-01 #8DD3C7 N1
KJ907663.1|H6N1|China|Anas_crecca|2013-12-01 #8DD3C7 N1
KJ907671.1|H6N2|China|Anas_crecca|2013-12-01 #FB8072 N2
KJ907679.1|H6N2|China|Anas_platyrhynchos|2013-10-01 #FB8072 N2
KJ907687.1|H9N2|China|Anatidae|2012-07-01 #FB8072 N2
KJ907695.1|H9N2|China|Otis_tarda|2012-04-01 #FB8072 N2
KJ907703.1|H9N2|China|Gallus_gallus|2013-10-01 #FB8072 N2
KJ907711.1|H13N6|China|Anas_platyrhynchos|2013-10-01 #B3DE69 N6
KJ907719.1|H6N1|China|Anas_crecca|2013-12-01 #8DD3C7 N1
KJ907727.1|H3N2|China|Sibirionetta_formosa|2013-11-01 #FB8072 N2
MG572473.1|H7N9|China|Homo_sapiens|2017-02-13 #FFFFB3 N9
MG572481.1|H7N9|China|Homo_sapiens|2017-03-19 #FFFFB3 N9
MG572489.1|H7N9|China|Homo_sapiens|2017-04-20 #FFFFB3 N9
MK028594.1|H4N6|China|Anas_platyrhynchos|2011-03-10 #B3DE69 N6
MF455308.1|H7N9|China|Homo_sapiens|2017-01 #FFFFB3 N9
MF455316.1|H7N9|China|Homo_sapiens|2017-03 #FFFFB3 N9
MG198920.1|H3N2|China|Homo_sapiens|2017-07-15 #FB8072 N2
MG572188.1|H1N1|Brazil|Sus_scrofa|2014-06 #8DD3C7 N1
MF987893.1|H7N1|South_Korea|Aves|2015-11-27 #8DD3C7 N1
KP179322.1|H6N2|Mexico|Anas_platyrhynchos|2007-11-04 #FB8072 N2
KR010395.1|H4N6|China|Anas_platyrhynchos|2014-04-18 #B3DE69 N6
KR010403.1|H4N6|China|Anas_platyrhynchos|2014-09-04 #B3DE69 N6
KR010411.1|H5N1|China|Anatidae|2014-10-26 #8DD3C7 N1
